Full name accepted	Abbreviation with periods accepted	Abbreviation without periods accepted
Travaux scientifiques du Parc national de Port-Cros	Trav. Sci. Parc Natl. Port-Cros	Trav Sci Parc Natl Port-Cros
Treballs del Museu de Zoologia, Barcelona	Treb. Mus. Zool. Barc.	Treb Mus Zool Barc
Tree Genetics & Genomes	Tree Genet. Genom.	Tree Genet Genom
Trees and natural resources	Trees Nat. Resour.	Trees Nat Resour
Trends in Biochemical Sciences	Trends Biochem. Sci.	Trends Biochem Sci
Trends in Biotechnology	Trends Biotechnol.	Trends Biotechnol
Trends in Cell Biology	Trends Cell Biol.	Trends Cell Biol
Trends in Comparative Biochemistry & Physiology	Trends Comp. Biochem. Physiol.	Trends Comp Biochem Physiol
Trends in Ecology & Evolution	Trends Ecol. Evol.	Trends Ecol Evol
Trends in Endocrinology and Metabolism	Trends Endocrinol. Metab.	Trends Endocrinol Metab
Trends in Food Science & Technology	Trends Food Sci. Technol.	Trends Food Sci Technol
Trends in Genetics	Trends Genet.	Trends Genet
Trends in Immunology	Trends Immunol.	Trends Immunol
Trends in Microbiology	Trends Microbiol.	Trends Microbiol
Trends in Molecular Medicine	Trends Mol. Med.	Trends Mol Med
Trends in Neurosciences	Trends Neurosci.	Trends Neurosci
Trends in Parasitology	Trends Parasitol.	Trends Parasitol
Trends in Pharmacological Sciences Receptor and Ion Channel Nomenclature Supplement	Trends Pharmacol. Sci. Receptor Ion Channel Nomenclature Suppl.	Trends Pharmacol Sci Receptor Ion Channel Nomenclature Suppl
Trends in Pharmacological Sciences	Trends Pharmacol. Sci.	Trends Pharmacol Sci
Trends in Photochemistry & Photobiology	Trends Photochem. Photobiol.	Trends Photochem Photobiol
Trends in Plant Science	Trends Plant Sci.	Trends Plant Sci
Trianea	Trianea	Trianea
Trochus information bulletin	Trochus Inf. Bull.	Trochus Inf Bull
Tropical Agriculture	Trop. Agric.	Trop Agric
Tropical and Geographical Medicine	Trop. Geogr. Med.	Trop Geogr Med
Tropical Animal Health and Production	Trop. Anim. Health Prod.	Trop Anim Health Prod
Tropical coasts	Trop. Coasts	Trop Coasts
Tropical Ecology	Trop. Ecol.	Trop Ecol
Tropical Forest Papers	Trop. For. Pap.	Trop For Pap
Tropical freshwater biology	Trop. Freshwat. Biol.	Trop Freshwat Biol
Tropical geography/Redai Dili	Trop. Geogr./Redai Dili	Trop Geogr/Redai Dili
Tropical Lepidoptera	Trop. Lepid.	Trop Lepid
Tropical Medicine and International Health	Trop. Med. Int. Health	Trop Med Int Health
Tropical Zoology	Trop. Zool.	Trop Zool
Trout news	Trout News	Trout News
Trudy Antarkticheskoj ehkspeditsii	Tr. Antarkt. Ehksped.	Tr Antarkt Ehksped
Trudy Arkticheskogo i antarkticheskogo nauchno-issledovatel'skogo instituta	Tr. AANII	Tr AANII
Trudy Belomorskoj biologicheskoj stantsii Moskovskogo gosudarstvennogo universiteta	Tr. BBS MGU	Tr BBS MGU
Trudy biologicheskogo Nauchno-issledovatel'skogo instituta Sankt- Peterburgskogo gosudarstvennogo universiteta	Tr. Biol. NII PGU/Pap. Biol. Sci. Res. Inst. St.-Peterbg. Univ.	Tr Biol NII PGU/Pap Biol Sci Res Inst St-Peterbg Univ
Trudy Dal'nevostochnogo regional'nogo nauchno-issledovatel'skogo gidrometeorologicheskogo instituta	Tr. DVNIGMI	Tr DVNIGMI
Trudy Geologicheskogo instituta/Transactions of the Geological Institute, Russian Academy of Science	Tr. GIN/Trans. Geol. Inst. Russ. Acad. Sci.	Tr GIN/Trans Geol Inst Russ Acad Sci
Trudy Gosudarstvennogo okeanograficheskogo instituta	Tr. GOIN	Tr GOIN
Trudy Instituta biologii vnutrennikh vod/Transactions. Institute of Biology of Inland Waters	Tr. Inst. Biol. Vnutr. Vod/Trans. Inst. Biol. Inland Waters	Tr Inst Biol Vnutr Vod/Trans Inst Biol Inland Waters
Trudy Instituta okeanologii/Transactions of the Institute of Oceanology	Tr. IORAN/Trans. Inst. Oceanol. RAN	Tr IORAN/Trans Inst Oceanol RAN
Trudy Limnologicheskogo instituta	Tr. Limnol. Inst.	Tr Limnol Inst
Trudy Paleontologicheskogo instituta	Tr. Paleontol. Inst.	Tr Paleontol Inst
Trudy Vserossijskogo gidrobiologicheskogo obshchestva/Transactions of the Hydrobiological Society, Russian Academy of Sciences	Tr. VGBO/Trans. Hydrobiol. Soc. RAN	Tr VGBO/Trans Hydrobiol Soc RAN
Trudy Vserossijskogo nauchno-issledovatel'skogo instituta gidrometeorologicheskoj informatsii Mirovogo tsentra dannykh	Tr. VNIIGMI-MTsD	Tr VNIIGMI-MTsD
Trudy Yuzhnogo nauchno-issledovatel'skogo instituta morskogo rybnogo khozyajstva i okeanografii/Proceedings of the Southern Scientific Research Institute of Marine Fisheries and Oceanography	Tr. YugNIRO/Proc. South. Sci. Res. Inst. Mar. Fish. Oceanogr.	Tr YugNIRO/Proc South Sci Res Inst Mar Fish Oceanogr
Trudy Zoologicheskogo instituta/Proceedings of the Zoological Institute, Russian Academy of Sciences	Tr. ZIN/Proc. Zool. Inst. RAN	Tr ZIN/Proc Zool Inst RAN
Tsitologiya i genetika/Cytology and genetics	Tsitol. Genet./Cytol. Genet.	Tsitol Genet/Cytol Genet
Tubercle and Lung Disease	Tubercle Lung Dis.	Tubercle Lung Dis
Tuberculosis	Tuberculosis	Tuberculosis
Tumor Biology	Tumor Biol.	Tumor Biol
Tumor Targeting	Tumor Target.	Tumor Target
Tuna fisheries assessment report	Tuna Fish. Assess. Rep.	Tuna Fish Assess Rep
Tuna fishery yearbook	Tuna Fish. Yearb.	Tuna Fish Yearb
Tunnelling and Underground Space Technology	Tunnel. Underground Space Technol.	Tunnel Underground Space Technol
Tunnels & Tunnelling International	Tunnels Tunnel Int.	Tunnels Tunnel Int
Turkish Journal of Fisheries and Aquatic Sciences	Turkish J. Fish. Aquat. Sci.	Turkish J Fish Aquat Sci
Turkish Journal of Marine Sciences	Turk. J. Mar. Sci.	Turk J Mar Sci
Turtle and Tortoise Newsletter	Turtle Tortoise Newsl.	Turtle Tortoise Newsl
U.S. Naval War College international law studies	U.S. Nav. War. Coll. Int. Law Stud.	US Nav War Coll Int Law Stud
Uchenye zapiski Sankt-Peterburgskogo gosudarstvennogo universiteta. Seriya geograficheskikh nauk/Scientific papers of the St. Petersburg State University. Geographical science series	Uch. Zap. PGU (Geogr. Nauk)/Sci. Pap. St.-Petersbg. State Univ. (Geogr. Sci.)	Uch Zap PGU (Geogr Nauk)/Sci Pap St-Petersbg State Univ (Geogr Sci)
Uitkomsten van de Belgische zeevisserij	Uitk. Belg. Zeeviss.	Uitk Belg Zeeviss
UK trade bulletin (SFIA)	UK Trade Bull. (SFIA)	UK Trade Bull (SFIA)
Ukrainskij biokhimicheskij zhurnal/Ukrayins'kij biokhimichnij zhurnal/Ukrainian biochemical journal	Ukr. Biokhim. Zh./Ukr. Biokhim. Zh./Ukr. Biochem. J.	Ukr Biokhim Zh/Ukr Biokhim Zh/Ukr Biochem J
Ukrainskij botanicheskij zhurnal	Ukr. Bot. Zh.	Ukr Bot Zh
Ukrains'kyi Botanichnyi Zhurnal	Ukr. Bot. Zh.	Ukr Bot Zh
Ukrayins'kij Antarktichnij zhurnal/Ukrainian Antarctic Journal	Ukr. Antarkt. Zh./Ukr. Antarct. J.	Ukr Antarkt Zh/Ukr Antarct J
Ultrasound in Medicine & Biology	Ultrasound Med. Biol.	Ultrasound Med Biol
Ultrasound in Obstetrics and Gynecology	Ultrasound Obstetr. Gynecol.	Ultrasound Obstetr Gynecol
Umi no Kenkyu	Umi no Kenkyu	Umi no Kenkyu
Umi to sora	Umi to Sora	Umi to Sora
Umi/la mer	Umi/Mer	Umi/Mer
Umweltwissenschaften und Schadstoff-Forschung	Umweltwiss. Schadstoff-Forsch.	Umweltwiss Schadstoff-Forsch
Underwater Naturalist	Underwat. Nat.	Underwat Nat
Underwater Technology	Underwat. Technol.	Underwat Technol
UNEP environment library	UNEP Environ. Lib.	UNEP Environ Lib
UNEP Regional Seas directories and bibliographies	UNEP Reg. Seas Dir. Bibliogr.	UNEP Reg Seas Dir Bibliogr
UNEP Regional Seas reports and studies	UNEP Reg. Seas Rep. Stud.	UNEP Reg Seas Rep Stud
UNICIENCIA	UNICIENCIA	UNICIENCIA
Universidad y ciencia	Univ. Cienc.	Univ Cienc
Universidad, Ciencia y Tecnologia	Univ. Cienc. Tecnol.	Univ Cienc Tecnol
Urban Nature Magazine	Urban Nat. Mag.	Urban Nat Mag
Urban Water	Urban Water	Urban Water
Uspekhi sovremennoj biologii/Advances in current biology	Usp. Sovrem. Biol./Adv. Curr. Biol.	Usp Sovrem Biol/Adv Curr Biol
Utah Science	Utah Sci.	Utah Sci
Vaccine Research	Vaccine Res.	Vaccine Res
Vaccine	Vaccine	Vaccine
VANN	VANN	VANN
Vector Borne and Zoonotic Diseases	Vector Borne Zoonotic Dis.	Vector Borne Zoonotic Dis
Vegetatio	Vegetatio	Vegetatio
Vehicle System Dynamics	Veh. Syst. Dyn.	Veh Syst Dyn
Veidim lastofnun. Fjaelrit/The Freshwater Fisheries Institute	Veidim lastofnun Fjaelrit/Freshw. Fish. Inst.	Veidim lastofnun Fjaelrit/Freshw Fish Inst
Veliger	Veliger	Veliger
Venus: Japanese journal of malacology	Venus Jap. J. Malacol.	Venus Jap J Malacol
Verhandlungen der Deutschen Zoologischen Gesellschaft	Verh. Dtsch. Zool. Ges.	Verh Dtsch Zool Ges
Verhandlungen der Gesellschaft fuer Ichthyologie	Verh. Ges. Ichthyol.	Verh Ges Ichthyol
Verhandlungen der Gesellschaft fuer Oekologie	Verh. Ges. Oekol.	Verh Ges Oekol
Verhandlungen. Internationale Vereinigung fuer theoretische und angewandte Limnologie/Proceedings. International Association of Theoretical and Applied Limnology/Travaux. Association internationale de Limnologie theorique et appliquee	Verh. Int. Ver. Theor. Angew. Limnol./Proc. Int. Assoc. Theor. Appl. Limnol./Trav. Assoc. Int. Limnol. Theor. Appl.	Verh Int Ver Theor Angew Limnol/Proc Int Assoc Theor Appl Limnol/Trav Assoc Int Limnol Theor Appl
VestBio	VestBio	VestBio
Vestnik Akademii nauk Ukrainy	Vestn. Akad. Nauk Ukr.	Vestn Akad Nauk Ukr
Vestnik Moskovskogo universiteta. Seriya biolgiya	Vestn. Mosk. Univ. (Biol.)	Vestn Mosk Univ (Biol)
Vestnik Rossijskoj akademii nauk	Vestn. RAN	Vestn RAN
Vestnik Sankt-Peterburgskogo universiteta. Seriya geologiya i geografiya	Vestn. St.-Peterb. Univ. (Geol. Geogr.)	Vestn St-Peterb Univ (Geol Geogr)
Vestnik Sankt-Petersburgskogo universiteta. Seriya biologiya	Vestn. St.-Petersb. Univ. (Biol.)	Vestn St-Petersb Univ (Biol)
Vestnik zoologii	Vestn. Zool.	Vestn Zool
Veterinaria (Montevideo)	Vet. (Montev.)	Vet (Montev)
Veterinaria e Zootecnia	Vet. Zootec.	Vet Zootec
Veterinaria Mexico	Vet. Mex.	Vet Mex
Veterinary and Human Toxicology	Vet. Hum. Toxicol.	Vet Hum Toxicol
Veterinary Clinics of North America: Small Animal Practice	Vet. Clin. N. Am.: Small Anim. Pract.	Vet Clin N Am: Small Anim Pract
Veterinary Immunology and Immunopathology	Vet. Immunol. Immunopathol.	Vet Immunol Immunopathol
Veterinary Journal	Vet. J.	Vet J
Veterinary Microbiology	Vet. Microbiol.	Vet Microbiol
Veterinary Parasitology	Vet. Parasitol.	Vet Parasitol
Veterinary Pathology	Vet. Pathol.	Vet Pathol
Veterinary Record	Vet. Rec.	Vet Rec
Veterinary Research Communications	Vet. Res. Commun.	Vet Res Commun
Veterinary Research	Vet. Res.	Vet Res
Victorian naturalist	Vic. Nat.	Vic Nat
Vie et Milieu	Vie Milieu	Vie Milieu
Vietnam fisheries extension bulletin	Vietnam Fish. Ext. Bull.	Vietnam Fish Ext Bull
Villes et ports/Cities and ports	Villes Ports/Cities Ports	Villes Ports/Cities Ports
Violence Against Women	Voilence Against Women	Voilence Against Women
Viral Hepatitis Reviews	Viral Hepatitis Rev.	Viral Hepatitis Rev
Viral Immunology	Viral Immunol.	Viral Immunol
Virchows Archiv	Virchows Archiv	Virchows Archiv
Virginia Journal of International Law	Virginia J. Int. Law	Virginia J Int Law
Virginia Journal of Science	Va. J. Sci.	Va J Sci
Virginia Law Review	Va. Law Rev.	Va Law Rev
Virginia Marine Resource Bulletin	Va. Mar. Resour. Bull.	Va Mar Resour Bull
Virologica Sinica	Virol. Sin.	Virol Sin
Virology	Virology	Virology
Virus Genes	Virus Genes	Virus Genes
Virus Research	Virus Res.	Virus Res
Virus/Uirusu	Virus/Uirusu	Virus/Uirusu
Vision Research	Vision Res.	Vision Res
Vitenskapsmuseet Rapport Zoologisk Serie	Vitensk. Rapp. Zool. Ser.	Vitensk Rapp Zool Ser
Vitis	Vitis	Vitis
VLIZ special publication	VLIZ Spec. Publ.	VLIZ Spec Publ
Vodnye resursy	Vodn. Resur.	Vodn Resur
Volucella	Volucella	Volucella
Vom Wasser	Vom Wasser	Vom Wasser
Voprosy ikhtiologii	Vopr. Ikhtiol.	Vopr Ikhtiol
Voprosy Meditsinskoi Khimi	Vopr. Med. Khim.	Vopr Med Khim
Voprosy pitaniya	Vopr. Pitan.	Vopr Pitan
Voprosy rybolovstva	Vopr. Rybolov.	Vopr Rybolov
Voprosy Virusologii	Vopr. Virusol.	Vopr Virusol
Vox Sanguinis	Vox Sang.	Vox Sang
VTT Publications	VTT Publ.	VTT Publ
Washington Law Review	Washington Law Rev.	Washington Law Rev
Washington Sea Grant publication	Wash. Sea Grant Publ.	Wash Sea Grant Publ
Washington Sea Grant report	Wash. Sea Grant Rep.	Wash Sea Grant Rep
Washington Sea Grant technical report	Wash. Sea Grant Tech. Rep.	Wash Sea Grant Tech Rep
Wasser und Boden	Wasser Boden	Wasser Boden
Wasserguetedaten der Elbe	Wasserguetedaten Elbe	Wasserguetedaten Elbe
Waste Management & Research	Waste Manage. Res.	Waste Manage Res
Waste Management	Waste Manage.	Waste Manage
Water (Antwerpen)	Water (Antwerp.)	Water (Antwerp)
Water and Wastes Digest	Water Wastes Dig.	Water Wastes Dig
Water and Wastewater Products	Water Wastewater Prod.	Water Wastewater Prod
Water Engineering & Management	Water Eng. Manage.	Water Eng Manage
Water Environment & Technology	Water Environ. Technol.	Water Environ Technol
Water Environment Research	Water Environ. Res.	Water Environ Res
Water journal	Water J.	Water J
Water Log	Water Log	Water Log
Water Quality Research Journal of Canada	Water Qual. Res. J. Can.	Water Qual Res J Can
Water Research	Water Res.	Water Res
Water Resources Impact	Water Resour. Impact	Water Resour Impact
Water Resources Management	Water Resour. Manage.	Water Resour Manage
Water S. A.	Water S. A.	Water S A
Water Science & Technology	Water Sci. Technol.	Water Sci Technol
Water Science & Technology: Water Supply	Water Sci. Technol. Water Supply	Water Sci Technol Water Supply
Water supply paper. U.S. Geological Survey	Water Supply Pap. U.S. Geol. Surv.	Water Supply Pap US Geol Surv
Water Supply	Water Supply	Water Supply
Water, Air, & Soil Pollution	Water, Air, Soil Pollut.	Water, Air, Soil Pollut
Water, Air, & Soil Pollution: Focus	Water, Air, Soil Pollut. Focus	Water, Air, Soil Pollut Focus
Waterbirds	Waterbirds	Waterbirds
Water-data report. U.S. Geological Survey	Water-Data Rep. U.S. Geol. Surv.	Water-Data Rep US Geol Surv
Watsonia	Watsonia	Watsonia
Weed Biology and Management	Weed Biol. Manage.	Weed Biol Manage
Weed Research	Weed Res.	Weed Res
Weed Science	Weed Sci.	Weed Sci
Weed Technology	Weed Technol.	Weed Technol
Western fisheries	West. Fish.	West Fish
Western Indian Ocean journal of marine science	West. Indian Ocean J. Mar. Sci.	West Indian Ocean J Mar Sci
Western Journal of Medicine	West. J. Med.	West J Med
Western North American Naturalist	West. N. Am. Nat.	West N Am Nat
Wetland Science	Wetland Sci.	Wetland Sci
Wetlands (Sydney)	Wetlands (Syd.)	Wetlands (Syd)
Wetlands Ecology and Management	Wetlands Ecol. Manage.	Wetlands Ecol Manage
Wetlands	Wetlands	Wetlands
WHO Technical Report Series	WHO Tech. Rep. Ser.	WHO Tech Rep Ser
Wiadomosci Entomologiczne	Wiad. Entomol.	Wiad Entomol
Wilderness & Environmental Medicine	Wilderness Environ. Med.	Wilderness Environ Med
Wildfire	Wildfire	Wildfire
Wildland Waters	Wildland Waters	Wildland Waters
Wildlife Australia	Wildl. Aust.	Wildl Aust
Wildlife Biology	Wildl. Biol.	Wildl Biol
Wildlife Research	Wildl. Res.	Wildl Res
Wildlife Society Bulletin	Wildl. Soc. Bull.	Wildl Soc Bull
Willdenowia	Willdenowia	Willdenowia
Wilson Bulletin	Wilson Bull.	Wilson Bull
Window newsletter	Window Newsl.	Window Newsl
Wisconsin Medical Journal	Wis. Med. J.	Wis Med J
Wissenschaftliche Mitteilungen aus dem Nationalpark Hohe Tauern	Wiss. Mitt. Nationalpark Hohe Tauern	Wiss Mitt Nationalpark Hohe Tauern
Women & Health	Women Health	Women Health
Women in fisheries information bulletin	Women Fish. Inf. Bull.	Women Fish Inf Bull
Women in Natural Resources	Women Nat. Resour.	Women Nat Resour
Women in Sport and Physical Activity Journal	Women Sport Phys. Act. J.	Women Sport Phys Act J
Women's Health Issues	Women's Health Issues	Women's Health Issues
Work and Occupations	Work Occup.	Work Occup
Work and Stress	Work Stress	Work Stress
Work	Work	Work
Work, Employment and Society	Work Employment Soc.	Work Employment Soc
Working paper. Bureau of Rural Resources (Australia)	Work. Pap. Bur. Rural Resour. (Aust.)	Work Pap Bur Rural Resour (Aust)
Working paper. California Sea Grant College Program	Work. Pap. Calif. Sea Grant Coll. Program	Work Pap Calif Sea Grant Coll Program
Working Paper. Centre for Applied Research. Oslo	Work. Pap. Cent. Appl. Res.	Work Pap Cent Appl Res
Working Paper. Institute for Research in Economics and Business Administration	Working Paper. Inst. Res. Econ. Buisness Admin.	Working Paper Inst Res Econ Buisness Admin
Working paper. North Carolina University Sea Grant Program	Work. Pap. N.C. Univ. Sea Grant Program	Work Pap NC Univ Sea Grant Program
Working Paper. University of Bergen, Department of Economics	Work. Pap. Univ. Bergen Dept. Econ.	Work Pap Univ Bergen Dept Econ
Workshop report. Intergovernmental Oceanographic Commission	Workshop Rep. IOC	Workshop Rep IOC
Workshop series. Great Barrier Reef Marine Park Authority	Workshop Ser. Great Barrier Reef Mar. Park Auth.	Workshop Ser Great Barrier Reef Mar Park Auth
Workshop. Washington Sea Grant	Workshop Wash. Sea Grant	Workshop Wash Sea Grant
World Aquaculture	World Aquacult.	World Aquacult
World Bank Discussion Papers	World Bank Discuss. Pap.	World Bank Discuss Pap
World Englishes	World Englishes	World Englishes
World Journal of Microbiology & Biotechnology	World J. Microbiol. Biotechnol.	World J Microbiol Biotechnol
World Resource Review	World Resour. Rev.	World Resour Rev
World Tunnelling	World Tunnel.	World Tunnel
WorldFish Center annual report	WorldFish Cent. Annu. Rep.	WorldFish Cent Annu Rep
WorldFish Center bibliographies	WorldFish Cent. Bibliogr.	WorldFish Cent Bibliogr
WorldFish Center conference proceedings	WorldFish Cent. Conf. Proc.	WorldFish Cent Conf Proc
WorldFish Center education series	WorldFish Cent. Educ. Ser.	WorldFish Cent Educ Ser
WorldFish Center medium-term plan	WorldFish Cent. Medium-Term Plan	WorldFish Cent Medium-Term Plan
WorldFish Center operational plan	WorldFish Cent. Oper. Plan	WorldFish Cent Oper Plan
WorldFish Center software	WorldFish Cent. Softw.	WorldFish Cent Softw
WorldFish Center strategic plan	WorldFish Cent. Strateg. Plan	WorldFish Cent Strateg Plan
WorldFish Center studies and reviews	WorldFish Cent. Stud. Rev.	WorldFish Cent Stud Rev
WorldFish Center technical reports	WorldFish Cent. Tech. Rep.	WorldFish Cent Tech Rep
Wuhan University Journal of Natural Sciences	Wuhan Univ. J. Nat. Sci.	Wuhan Univ J Nat Sci
Xenobiotica	Xenobiotica	Xenobiotica
Xenotransplantation	Xenotransplantation	Xenotransplantation
X-Ray Spectrometry	X-Ray Spectrom.	X-Ray Spectrom
Yakhteh	Yakhteh	Yakhteh
Yearbook. International Hydrographic Organization/Annuaire. Organisation hydrographique internationale	Yearb. Int. Hydrogr.Organ./Annu. Organ. Hydrogr. Int.	Yearb Int HydrogrOrgan/Annu Organ Hydrogr Int
Yearbook. International Tribunal for the Law of the Sea	Yearb. Int. Trib. Law Sea (ITLOS)	Yearb Int Trib Law Sea (ITLOS)
